caminho,condicao,custo_usd,empresa,interprete_status,n_anuncios,n_falhas_tratadas,n_oportunidades,n_problemas,n_recomendacoes,n_recomendacoes_com_fontes,repeticao,seo_status,tempo_analise_s,tempo_coleta_s,tempo_interpretacao_s,tempo_relatorio_s,tempo_total_s
resultados/A/sistema/rep1,sistema,0.0051,A,sucesso_llm,2,0,2,3,5,5,1,Sucesso,47.97,18.83,2.79,8.31,77.9
resultados/A/sistema/rep2,sistema,0.04,A,sucesso_llm,2,0,2,3,5,5,2,Sucesso,8.86,17.81,1.74,9.19,37.58
resultados/A/b1,b1,0.0221,A,,,0,,,,,1,,,,,,12.71
resultados/B/sistema/rep1,sistema,0.0317,B,sucesso_llm,42,0,0,4,5,5,1,Sucesso,11.01,21.05,2.48,10.17,44.72
resultados/B/sistema/rep2,sistema,0.047,B,sucesso_llm,42,0,0,3,5,5,2,Sucesso,10.72,19.82,1.61,11.36,43.51
resultados/B/b1,b1,0.0212,B,,,0,,,,,1,,,,,,10.71
resultados/C/sistema/rep1,sistema,0.0465,C,sucesso_llm,77,0,1,1,5,5,1,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",10.53,22.22,1.28,9.31,43.34
resultados/C/sistema/rep2,sistema,0.0419,C,sucesso_llm,67,0,1,1,5,5,2,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",9.88,21.31,4.43,10.39,46.01
resultados/C/b1,b1,0.0324,C,,,0,,,,,1,,,,,,10.87
resultados/D/sistema/rep1,sistema,0.0358,D,sucesso_llm,77,0,1,1,5,5,1,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",10.43,20.98,1.27,12.49,45.17
resultados/D/sistema/rep2,sistema,0.0364,D,sucesso_llm,67,0,1,1,5,5,2,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",12.13,21.09,1.16,8.07,42.46
resultados/D/b1,b1,0.0,D,,,0,,,,,1,,,,,,8.93
resultados/E/sistema/rep1,sistema,0.0488,E,sucesso_llm,67,0,1,1,5,5,1,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",11.11,20.76,1.2,9.31,42.38
resultados/E/sistema/rep2,sistema,0.0348,E,sucesso_llm,77,0,1,1,5,5,2,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",9.59,20.79,1.25,9.26,40.89
resultados/E/b1,b1,0.0206,E,,,0,,,,,1,,,,,,8.84
resultados/F/sistema/rep1,sistema,0.0334,F,sucesso_llm,77,0,1,1,5,5,1,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",14.13,20.95,1.15,9.52,45.75
resultados/F/sistema/rep2,sistema,0.0376,F,sucesso_llm,76,0,1,1,5,5,2,"Erro durante a análise: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://preencher/
Call log:
  - navigating to ""https://preencher/"", waiting until ""load""
",9.9,20.97,1.57,8.95,41.4
resultados/F/b1,b1,0.0234,F,,,0,,,,,1,,,,,,8.85
